Course Name,Department Course ID,Description,Section Name,Section Type,Registration Number,Instructors,Campus,Location
"Algebra, Trigonometry, and Functions",9,"Serves as preparation for students who do not otherwise place into Discrete Mathematics (MATH-UA 120), Calculus I (MATH-UA 121), Mathematics for Economics I (MATH-UA 131; formerly MATH-UA 211), Linear Algebra (MATH-UA 140), Honors Linear Algebra (MATH-UA 148; an A- in MATH-UA 9 is required to enter MATH-UA 148), and some courses in other departments (such as chemistry and economics). Intermediate algebra and trigonometry; algebraic, exponential, logarithmic, and trigonometric functions and their graphs. ",,Lecture,8052,"Mavroyiakoumou, Christiana",Washington Square,19W4 101
"Algebra, Trigonometry, and Functions",9,"Serves as preparation for students who do not otherwise place into Discrete Mathematics (MATH-UA 120), Calculus I (MATH-UA 121), Mathematics for Economics I (MATH-UA 131; formerly MATH-UA 211), Linear Algebra (MATH-UA 140), Honors Linear Algebra (MATH-UA 148; an A- in MATH-UA 9 is required to enter MATH-UA 148), and some courses in other departments (such as chemistry and economics). Intermediate algebra and trigonometry; algebraic, exponential, logarithmic, and trigonometric functions and their graphs. ",,Lecture,8057,"Flek, Ruslan",Washington Square,SILV 207
"Algebra, Trigonometry, and Functions",9,"Serves as preparation for students who do not otherwise place into Discrete Mathematics (MATH-UA 120), Calculus I (MATH-UA 121), Mathematics for Economics I (MATH-UA 131; formerly MATH-UA 211), Linear Algebra (MATH-UA 140), Honors Linear Algebra (MATH-UA 148; an A- in MATH-UA 9 is required to enter MATH-UA 148), and some courses in other departments (such as chemistry and economics). Intermediate algebra and trigonometry; algebraic, exponential, logarithmic, and trigonometric functions and their graphs. ",,Lecture,8062,"Flek, Ruslan",Washington Square,ONLI
"Algebra, Trigonometry, and Functions",9,"Serves as preparation for students who do not otherwise place into Discrete Mathematics (MATH-UA 120), Calculus I (MATH-UA 121), Mathematics for Economics I (MATH-UA 131; formerly MATH-UA 211), Linear Algebra (MATH-UA 140), Honors Linear Algebra (MATH-UA 148; an A- in MATH-UA 9 is required to enter MATH-UA 148), and some courses in other departments (such as chemistry and economics). Intermediate algebra and trigonometry; algebraic, exponential, logarithmic, and trigonometric functions and their graphs. ",,Lecture,26466,"Stepp, Elizabeth",Washington Square,ONLI
Discrete Mathematics,120,"A first course in discrete mathematics. Sets, algorithms, and induction. Combinatorics. Graphs and trees. Combinatorial circuits. Logic and Boolean algebra.",,Lecture,8067,"Wang, Victor",Washington Square,194M 203
Discrete Mathematics,120,"A first course in discrete mathematics. Sets, algorithms, and induction. Combinatorics. Graphs and trees. Combinatorial circuits. Logic and Boolean algebra.",,Lecture,8068,"Leingang, Matthew",Washington Square,194M 203
Discrete Mathematics,120,"A first course in discrete mathematics. Sets, algorithms, and induction. Combinatorics. Graphs and trees. Combinatorial circuits. Logic and Boolean algebra.",,Lecture,8380,"Chikhany, Ralph",Washington Square,194M 203
Discrete Mathematics,120,"A first course in discrete mathematics. Sets, algorithms, and induction. Combinatorics. Graphs and trees. Combinatorial circuits. Logic and Boolean algebra.",,Lecture,8563,"Shum, Fanny",Washington Square,194M 203
Discrete Mathematics,120,"A first course in discrete mathematics. Sets, algorithms, and induction. Combinatorics. Graphs and trees. Combinatorial circuits. Logic and Boolean algebra.",,Lecture,8707,"Divol, Vincent",Washington Square,194M 203
Discrete Mathematics,120,"A first course in discrete mathematics. Sets, algorithms, and induction. Combinatorics. Graphs and trees. Combinatorial circuits. Logic and Boolean algebra.",,Lecture,8883,"Shum, Fanny",Washington Square,194M 203
